attendance_pct,internal1_marks,internal2_marks,assignment_avg,cgpa,study_hours,backlogs,performance_score,performance_label,attendance_risk,placement_score
62.5,13.7,15.2,8.4,7.43,3.8,0,59.5,average,1,64.0
97.0,20.8,14.9,9.0,8.83,4.3,0,76.9,good,0,79.7
83.9,27.5,28.1,6.3,8.56,7.0,2,83.8,excellent,0,85.7
75.9,24.6,15.0,8.1,4.92,3.4,4,53.1,average,0,55.4
49.4,26.1,15.4,7.9,4.9,7.1,4,52.1,average,1,57.6
49.4,23.2,25.2,9.2,5.61,1.6,2,55.4,average,1,54.5
43.5,23.8,19.0,9.5,6.17,6.4,3,56.4,average,1,61.6
92.0,27.0,25.5,5.1,6.45,6.9,0,81.6,excellent,0,79.6
76.1,15.0,11.3,8.4,8.08,2.3,0,61.5,good,0,65.6
82.5,19.8,19.8,5.3,4.34,4.0,2,57.7,average,0,57.6
41.2,14.4,10.7,7.7,4.21,2.2,2,36.3,poor,1,40.6
98.2,29.8,11.3,6.4,6.35,5.9,3,69.0,good,0,71.8
89.9,28.9,28.1,6.5,8.18,4.7,4,78.1,good,0,79.5
52.7,10.8,12.8,6.8,5.16,5.4,1,47.2,average,1,53.2
50.9,24.1,20.6,8.1,7.85,2.4,4,57.4,average,1,62.0
51.0,28.5,18.2,6.7,5.56,2.5,0,59.8,average,1,57.7
58.3,13.6,16.9,8.7,9.32,1.3,2,58.0,average,1,64.5
71.5,21.4,28.0,7.0,9.37,3.3,3,72.9,good,1,76.4
65.9,28.3,10.4,5.3,5.78,4.9,4,54.5,average,1,59.4
57.5,10.7,23.3,8.9,5.38,7.0,3,53.1,average,1,59.5
76.7,23.9,29.3,6.4,6.47,5.7,4,68.7,good,0,70.6
48.4,15.9,21.2,7.2,5.44,4.0,0,55.1,average,1,56.3
57.5,28.5,28.7,8.4,8.03,7.7,1,79.5,good,1,81.1
62.0,29.4,11.0,6.7,8.96,6.0,3,67.4,good,1,75.0
67.4,28.9,18.4,5.3,8.04,7.5,3,71.9,good,1,77.5
87.1,19.5,15.2,6.9,8.95,4.7,1,72.7,good,0,77.6
52.0,27.2,24.6,9.7,6.38,2.8,3,59.9,average,1,60.4
70.9,26.9,29.6,8.2,4.94,1.4,3,61.3,good,1,57.4
75.5,16.4,15.1,8.4,8.43,6.1,4,62.2,good,0,71.8
42.8,26.6,23.1,8.2,6.16,1.8,4,52.4,average,1,54.1
76.5,10.7,14.0,6.0,8.03,3.1,1,59.5,average,0,65.5
50.2,21.9,21.3,7.1,5.62,4.7,0,60.5,good,1,60.7
43.9,14.6,19.3,8.8,4.49,5.0,3,44.5,average,1,49.4
96.9,12.4,29.4,5.5,9.96,5.2,0,85.0,excellent,0,87.9
97.9,11.5,22.2,6.4,4.94,2.2,1,59.7,average,0,58.7
88.5,23.9,17.0,6.4,9.93,3.7,1,78.4,good,0,82.0
58.3,16.8,12.3,7.2,9.86,5.3,4,59.8,average,1,71.7
45.9,24.5,13.0,9.9,8.76,7.8,3,63.4,good,1,73.3
81.1,11.3,14.5,5.3,7.96,6.1,2,62.8,good,0,71.1
66.4,16.3,15.0,7.6,7.47,7.5,1,64.6,good,1,71.7
47.3,20.8,27.0,5.9,9.2,6.3,3,69.2,good,1,76.0
69.7,25.8,21.2,9.9,5.74,5.1,0,68.4,good,1,67.1
42.1,16.4,20.5,5.6,6.81,2.3,4,47.4,average,1,53.3
94.6,22.5,12.3,7.0,7.72,5.7,0,74.2,good,0,77.1
55.5,27.7,27.2,8.7,6.47,5.4,1,70.1,good,1,69.4
79.8,22.3,24.5,8.5,6.56,5.2,1,71.4,good,0,71.6
58.7,14.7,11.4,7.1,5.98,4.4,0,53.3,average,1,57.6
71.2,10.5,24.2,6.7,7.39,4.7,1,64.1,good,1,68.2
72.8,27.4,20.9,7.0,9.1,3.3,3,71.8,good,1,75.2
51.1,10.4,11.6,6.3,5.21,4.6,1,45.0,average,1,51.0
98.2,27.5,19.2,6.0,9.61,2.4,4,75.6,good,0,79.1
86.5,20.6,19.7,7.4,8.13,6.6,3,71.8,good,0,77.6
96.4,28.8,13.3,6.3,8.94,2.3,2,74.4,good,0,76.4
93.7,26.0,28.9,6.4,7.34,1.6,1,77.5,good,0,73.4
75.9,30.0,27.0,8.3,8.68,4.1,1,81.4,excellent,0,80.6
95.3,17.0,23.4,9.8,4.1,5.6,4,58.7,average,0,60.4
45.3,25.3,19.2,8.0,8.91,4.1,4,61.1,good,1,68.2
51.8,18.0,18.2,5.4,4.24,2.9,0,50.4,average,1,49.8
42.7,19.6,23.0,5.4,9.34,4.9,0,69.7,good,1,74.3
59.5,22.6,20.9,9.8,9.95,3.4,0,74.4,good,1,77.6
63.3,27.5,11.2,6.5,5.76,7.5,4,57.1,average,1,63.7
56.3,29.7,20.3,5.5,5.26,7.5,0,68.4,good,1,68.0
89.7,25.4,26.1,8.0,8.59,4.5,0,83.9,excellent,0,82.9
61.4,18.4,19.2,8.1,5.52,3.3,2,54.0,average,1,56.1
56.9,18.4,11.0,8.2,9.19,6.2,0,66.7,good,1,74.6
72.6,24.8,25.7,6.3,4.62,1.3,1,61.1,good,1,56.3
48.5,14.8,14.0,5.1,4.76,4.3,4,40.6,average,1,47.4
88.1,12.2,15.2,9.8,9.87,3.4,3,65.9,good,0,74.6
44.5,17.1,13.3,6.3,8.04,7.4,2,58.2,average,1,68.1
99.2,15.7,16.6,8.4,9.08,1.1,4,64.3,good,0,70.0
86.3,15.9,25.1,8.5,5.95,4.9,4,61.5,good,0,64.9
51.9,14.7,20.4,8.1,8.06,6.2,1,63.4,good,1,69.9
40.3,10.8,14.1,6.6,7.57,4.4,0,52.8,average,1,59.9
88.9,10.4,27.6,6.4,7.62,1.6,1,67.3,good,0,67.9
82.4,29.8,27.6,8.0,8.1,7.8,0,88.1,excellent,0,87.6
83.7,18.6,27.4,9.3,7.45,4.6,0,75.9,good,0,75.5
86.3,17.7,14.8,9.7,6.57,5.3,4,58.9,average,0,65.3
44.4,23.6,19.0,5.5,5.66,2.7,0,56.3,average,1,55.8
61.5,14.4,29.7,5.8,8.61,4.4,2,68.4,good,1,72.7
47.0,29.0,25.4,9.7,5.36,4.0,2,60.6,good,1,59.5
91.8,25.7,10.5,8.7,8.15,1.5,2,66.4,good,0,68.8
77.4,11.8,11.3,9.4,5.4,1.7,4,43.2,average,0,49.0
59.9,18.4,19.3,6.0,7.75,6.9,1,66.8,good,1,72.5
43.8,27.6,28.2,7.9,8.48,2.7,3,66.3,good,1,68.3
58.7,28.9,20.8,8.5,5.31,2.4,0,62.6,good,1,59.0
59.5,19.3,20.0,8.4,4.36,4.5,3,50.5,average,1,52.9
83.8,22.3,12.1,7.0,4.79,6.4,1,61.4,good,0,63.4
78.3,13.3,23.1,5.1,7.64,1.4,1,63.5,good,0,65.0
93.2,29.8,26.4,7.9,9.1,5.0,4,81.6,excellent,0,84.1
68.3,14.6,17.6,6.3,4.27,1.8,2,46.9,average,1,47.8
47.2,28.9,25.5,7.3,8.4,1.3,2,66.4,good,1,66.6
82.8,23.0,29.3,9.8,6.05,1.4,1,69.1,good,0,64.8
85.6,22.2,14.1,7.0,6.87,6.8,4,63.7,good,0,70.5
73.7,20.3,20.5,9.2,9.57,1.8,4,65.2,good,1,71.0
86.3,14.6,15.7,5.9,5.99,1.3,0,58.8,average,0,58.8
69.6,13.5,25.9,8.4,6.79,4.1,2,61.9,good,1,64.9
71.4,14.4,21.6,9.9,4.08,6.9,1,57.7,average,1,59.5
65.7,13.7,22.7,5.5,4.49,2.8,3,48.6,average,1,50.5
41.5,25.6,26.0,5.0,5.55,4.0,2,58.1,average,1,58.2
46.5,17.0,17.9,7.2,4.17,1.3,0,46.1,average,1,45.1
41.9,11.2,28.3,5.5,7.79,4.1,4,54.0,average,1,61.4
78.2,29.4,20.7,8.7,6.56,5.0,1,72.7,good,0,72.0
58.9,27.7,13.2,9.6,7.29,5.0,2,62.7,good,1,66.9
70.5,28.6,23.9,7.2,5.05,3.3,3,61.5,good,1,60.0
94.5,29.9,25.9,6.3,5.78,3.2,0,77.5,good,0,71.6
55.0,13.5,16.3,7.2,7.98,1.7,0,57.2,average,1,61.0
64.6,17.9,27.1,8.6,9.79,3.6,2,72.3,good,1,76.8
85.3,25.2,28.1,5.0,4.3,1.7,3,61.4,good,0,57.2
53.7,23.9,15.5,7.9,9.34,6.4,0,72.4,good,1,78.2
44.6,13.1,29.7,8.1,7.46,7.8,1,66.2,good,1,71.7
57.4,26.3,12.8,8.2,7.38,7.8,0,69.0,good,1,73.7
49.7,14.5,14.0,6.2,7.0,7.1,3,52.9,average,1,62.8
95.8,14.5,13.7,8.6,4.42,5.2,4,52.2,average,0,57.0
88.5,20.7,27.9,5.5,4.54,5.9,4,63.5,good,0,64.1
78.0,21.9,23.1,6.0,7.61,3.0,2,68.3,good,0,69.7
92.3,21.6,13.0,9.4,6.05,5.4,3,62.2,good,0,66.3
88.2,11.8,18.8,8.7,9.5,4.2,0,73.6,good,0,78.7
51.2,27.5,22.3,5.1,6.44,4.4,0,66.7,good,1,65.8
93.6,15.3,11.7,6.2,4.86,6.3,4,53.6,average,0,60.0
72.4,12.6,27.6,6.1,8.29,3.0,4,62.2,good,1,67.7
88.4,27.8,26.1,6.4,5.76,3.2,1,72.8,good,0,68.7
93.8,29.1,20.1,6.2,7.15,7.5,4,75.0,good,0,78.8
59.1,27.2,29.3,5.3,8.19,1.4,1,72.1,good,1,70.0
46.6,26.2,18.4,7.3,9.4,4.4,0,71.4,good,1,75.0
53.7,23.1,29.7,8.7,8.75,7.4,1,77.7,good,1,81.2
65.6,21.0,23.4,8.0,8.06,5.3,1,71.1,good,1,74.1
89.1,11.7,22.7,8.4,8.08,4.8,2,68.6,good,0,73.6
91.6,18.2,13.3,5.4,9.68,2.7,4,65.7,good,0,73.6
40.4,17.5,27.6,9.8,5.77,3.4,1,56.0,average,1,56.6
70.6,15.2,18.5,9.2,4.01,7.0,0,58.1,average,1,59.5
65.0,24.5,13.2,9.0,5.63,4.9,3,55.3,average,1,59.3
53.3,19.9,10.3,9.1,5.31,4.6,1,50.6,average,1,54.6
47.2,11.6,21.2,9.7,7.97,1.7,4,49.0,average,1,56.4
60.3,14.4,20.5,7.7,7.8,1.1,2,56.2,average,1,60.0
96.6,23.7,24.4,6.0,7.56,7.7,0,84.5,excellent,0,85.0
59.4,11.5,27.8,8.1,4.1,3.6,2,50.6,average,1,51.1
71.1,27.0,11.6,8.7,8.37,5.2,3,65.9,good,1,72.3
82.2,19.9,24.6,8.7,5.94,1.6,1,64.3,good,0,62.0
61.8,19.6,13.7,7.6,7.99,5.8,1,64.1,good,1,70.3
98.3,21.8,27.2,5.3,7.34,7.5,4,76.6,good,0,80.4
97.7,26.5,26.4,6.9,6.06,5.0,1,77.7,good,0,74.8
55.1,17.0,20.8,9.6,4.81,1.9,0,52.6,average,1,51.4
69.8,23.6,24.2,7.9,4.57,5.1,3,59.4,average,1,59.7
58.1,21.3,16.3,7.7,8.99,6.4,2,67.4,good,1,75.1
57.1,15.3,19.4,6.3,9.51,3.8,3,61.8,good,1,70.2
